operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.362511,-99.166374",3071500.0,MXN,3044436.15,161864.91,,51.0,,60225.490196078434,,,,http://benito-juarez.properati.com.mx/ra5d_venta_departamento_benito-juarez_jorge-trejo_c56
sell,house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",469000.0,USD,8821186.5,469000.0,0.0,390.0,,1202.5641025641023,2.0,,,http://cancun.properati.com.mx/c5wj_venta_casa_cancun
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",1784569.0,MXN,1768425.2,94022.66,,57.0,,31308.22807017544,,,,http://benito-juarez.properati.com.mx/obpl_venta_departamento_benito-juarez_inventario-inmobiliario-6
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.405298,-99.164986",7200000.0,MXN,7134866.79,379342.68,,145.0,,49655.1724137931,,,,http://cuauhtemoc.properati.com.mx/pfxj_venta_departamento_cuauhtemoc_inventario-inmobiliario-5
sell,house,|Benito Juárez|Quintana Roo|México|,,2650000.0,MXN,2626650.09,139652.29,122.0,196.0,1144.6909016393442,13520.408163265309,,,,http://cancun.properati.com.mx/q128_venta_casa_cancun_momentum-realty_ega
sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",14500000.0,MXN,14368828.99,763954.01,0.0,234.0,,61965.81196581197,,,,http://cuajimalpa-de-morelos.properati.com.mx/qz60_venta_departamento_cuajimalpa-de-morelos_spazio-20
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.340117,-99.233395",13950000.0,MXN,13823804.37,734976.44,,357.0,,39075.63025210084,,,,http://tetelpan.properati.com.mx/i967_venta_casa_tetelpan_camino-real-a-tetelpan_1
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.40445,-99.248121",1900000.0,USD,35736150.0,1900000.0,,1024.0,,1855.46875,,,,http://miguel-hidalgo-df.properati.com.mx/lja9_venta_casa_miguel-hidalgo_ombues_23_carolina-villanueva
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,,200744.0,MXN,198975.12,10579.0,44.0,44.0,240.4318181818182,4562.363636363636,,,,http://gustavo-a-madero.properati.com.mx/etdi_venta_departamento_gustavo-a-madero
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.463009,-99.131106",1950000.0,MXN,1932359.71,102738.64,,80.0,,24375.0,,,,http://cuauhtemoc.properati.com.mx/pplm_venta_departamento_cuauhtemoc_callejon-felipe-villanueva_14_vision-y-solucion-inmo-ampi
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.4753714,-99.1048072",2340000.0,MXN,2319381.46,123315.6,140.0,220.0,880.8257142857143,10636.363636363636,,,,http://gustavo-a-madero.properati.com.mx/om7h_venta_casa_gustavo-a-madero_all-in-1-mexico-real-estate_656
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.2742314,-99.2060262",1850000.0,MXN,1833264.3,97469.99,0.0,89.0,,20786.516853932582,,,,http://tlalpan.properati.com.mx/n4pv_venta_departamento_tlalpan_circulo-bienes-raices
sell,house,|Iztapalapa|Distrito Federal|México|,,2750000.0,MXN,2725122.75,144887.83,148.0,240.0,978.9718243243242,11458.333333333334,,,,http://iztapalapa.properati.com.mx/le0r_venta_casa_iztapalapa_century-21-eden_9zn
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1506025429,-86.8348042667",3400000.0,MXN,3370041.57,179176.52,149.0,261.0,1202.5269798657716,13026.819923371648,3.0,,,http://cancun.properati.com.mx/miip_venta_casa_cancun_cancunyou-real-estate
sell,apartment,|Tláhuac|Distrito Federal|México|,"19.302588,-99.048903",570000.0,MXN,564843.51,30031.29,,62.0,,9193.548387096776,,,,http://santa-ana-poniente.properati.com.mx/pj3m_venta_departamento_santa-ana-poniente_amado-nervo_63_javier-perez-rodriguez
sell,house,|Solidaridad|Quintana Roo|México|,"20.6386378471,-87.0738387108",125000.0,USD,2351062.5,125000.0,178.0,60.0,702.2471910112359,2083.333333333333,,,,http://playa-del-carmen.properati.com.mx/mh7z_venta_casa_playa-del-carmen_playa-realtors-4-u
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.444975,-99.178773",995334.0,MXN,986329.77,52440.64,,60.0,,16588.9,,,,http://anahuac-miguel-hidalgo.properati.com.mx/qcmx_venta_departamento_anahuac_calle-laguna-de-san-cristobal_0_edith
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",2867000.0,MXN,2841064.17,151052.14,,81.0,,35395.06172839506,,,,http://benito-juarez.properati.com.mx/olaz_venta_departamento_benito-juarez_yael-reyes
sell,apartment,|Iztapalapa|Distrito Federal|México|,,536533.0,MXN,531679.24,28268.03,,80.0,,6706.6625,,,,http://iztapalapa.properati.com.mx/p6ho_venta_departamento_iztapalapa_plutarco-elias-calles_230_luis-pena
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.342875,-99.222777",2153800.0,MXN,2134315.97,113476.14,,205.0,,10506.341463414634,,,,http://alvaro-obregon.properati.com.mx/qvgs_venta_casa_alvaro-obregon_2a-cda-del-moral_27_fernando-vazquez_act
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.454332,-99.200287",1047000.0,MXN,1037528.39,55162.74,,75.0,,13960.0,,,,http://miguel-hidalgo-df.properati.com.mx/mq74_venta_departamento_miguel-hidalgo_calzada-legaria_203_jose-camacho
sell,apartment,|Benito Juárez|Quintana Roo|México|,,540000.0,USD,10156590.0,540000.0,,250.0,,2160.0,,,,http://benito-juarez-quintana-roo.properati.com.mx/iyn4_venta_departamento_benito-juarez
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.372684,-99.183678",3150000.0,MXN,3121504.17,165962.42,,88.0,,35795.454545454544,,,,http://benito-juarez.properati.com.mx/ojqg_venta_departamento_benito-juarez_yessenia-torres
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.478582,-99.070236",1243006.0,MXN,1232053.42,65505.14,,89.0,,13966.359550561798,,,,http://gustavo-a-madero.properati.com.mx/r9zw_venta_casa_gustavo-a-madero_volcan-de-santa-maria_jorge-ramirez-linares
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1112458651,-86.8437480927",5900000.0,MXN,5846626.92,310850.25,300.0,434.0,1036.1675,13594.47004608295,3.0,,,http://cancun.properati.com.mx/gspk_venta_casa_cancun
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.443178,-99.144234",1380000.0,MXN,1367516.0,72707.34,,42.0,,32857.142857142855,,,,http://cuauhtemoc.properati.com.mx/pe5s_venta_departamento_cuauhtemoc_inventario-inmobiliario-7
sell,house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",4200000.0,MXN,4162992.51,221335.7,300.0,300.0,737.7856666666667,14000.0,2.0,,,http://cancun.properati.com.mx/c6r1_venta_casa_cancun
sell,store,|Cuauhtémoc|Distrito Federal|México|,"19.438125,-99.130295",800000.0,MXN,792950.93,42159.18,,65.0,,12307.692307692309,,,,http://cuauhtemoc.properati.com.mx/qw9a_venta_local_cuauhtemoc_republica-de-colombia_51_patricia-macias
sell,apartment,|Benito Juárez|Distrito Federal|México|,,6019205.0,MXN,5966168.11,317205.95,186.0,130.0,1705.4083333333333,46301.57692307692,,,,http://benito-juarez.properati.com.mx/giql_venta_departamento_benito-juarez
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",6410000.0,MXN,6352013.39,337720.36,,135.0,,47481.48148148148,,,,http://miguel-hidalgo-df.properati.com.mx/p8fq_venta_departamento_miguel-hidalgo_inventario-inmobiliario-5
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.381729,-99.164986",3863530.0,MXN,3828579.45,203555.81,,101.0,,38252.77227722772,,,,http://benito-juarez.properati.com.mx/oxhe_venta_departamento_benito-juarez_inventario-inmobiliario-8
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",1710000.0,MXN,1694530.74,90093.88,,578.0,,2958.477508650519,,,,http://benito-juarez.properati.com.mx/p1wm_venta_departamento_benito-juarez_jose-maria-linares_0_alberto-carrillo-mendez
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.328705,-99.164986",930000.0,MXN,921586.78,48998.42,,55.0,,16909.090909090908,,,,http://pedregal-de-santo-domingo.properati.com.mx/q4zn_venta_departamento_pedregal-de-santo-domingo_pipizahuac_23_santiago-luna
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.401079,-99.24807",12500000.0,MXN,12389859.0,658737.22,373.0,420.0,1766.051528150134,29761.904761904763,2.0,,,http://miguel-hidalgo-df.properati.com.mx/h03u_venta_casa_miguel-hidalgo
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.383364,-99.168089",2460666.0,MXN,2438984.33,129674.58,,113.0,,21775.805309734515,,,,http://benito-juarez.properati.com.mx/r5c4_venta_departamento_benito-juarez_av-coyoacan_1_remate-bancario_e2b
sell,store,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"20.626583,-87.078659",289500.0,USD,5445060.75,289500.0,,93.0,,3112.903225806452,,,,http://playa-del-carmen-centro.properati.com.mx/ocev_venta_local_playa-del-carmen-centro_project-4-life
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,,1007000.0,MXN,997890.23,53055.28,,52.0,,19365.384615384617,,,,http://agricultura.properati.com.mx/on50_venta_departamento_agricultura_daniel-delgadillo_molen
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4366635,-99.193057",16250000.0,MXN,16106816.77,856358.39,0.0,165.0,,98484.84848484848,,,,http://miguel-hidalgo-df.properati.com.mx/m478_venta_departamento_miguel-hidalgo_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
